epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
140,1812.76,2.73308,0.67116,1.42957,0.71335,0.6495,0.6352,0.23431,2.98808,0.84822,1.42291,0.00089912,0.00089912,0.00089912
141,1825.93,2.68339,0.64035,1.41805,0.93035,0.86179,0.9119,0.36683,2.57059,0.58374,1.32588,0.0008912,0.0008912,0.0008912
142,1839.49,2.63653,0.652,1.36221,0.94916,0.80059,0.88993,0.35473,2.68318,0.65302,1.3504,0.00088328,0.00088328,0.00088328
143,1853.08,2.64424,0.65563,1.41797,0.81017,0.75953,0.74113,0.26677,2.85361,0.67494,1.39551,0.00087536,0.00087536,0.00087536
144,1866.16,2.6508,0.65973,1.38212,0.91688,0.91202,0.94163,0.41664,2.45629,0.55295,1.30581,0.00086744,0.00086744,0.00086744
145,1880.06,2.67903,0.64906,1.41495,0.92834,0.8915,0.92068,0.37393,2.60122,0.57054,1.3316,0.00085952,0.00085952,0.00085952
146,1893.04,2.59266,0.65031,1.40018,0.9032,0.82698,0.87643,0.35093,2.70128,0.62876,1.35045,0.0008516,0.0008516,0.0008516
147,1906.05,2.65656,0.65676,1.39602,0.90694,0.57162,0.6961,0.26954,2.78815,1.05727,1.38415,0.00084368,0.00084368,0.00084368
148,1918.94,2.62402,0.65292,1.40182,0.56947,0.44868,0.38849,0.12221,3.53734,0.97195,1.59856,0.00083576,0.00083576,0.00083576
149,1931.78,2.66983,0.6485,1.41737,0.90285,0.89736,0.91942,0.39096,2.53659,0.55675,1.31082,0.00082784,0.00082784,0.00082784
150,1944.33,2.63161,0.63647,1.43371,0.90886,0.85924,0.90115,0.35665,2.58737,0.57361,1.31757,0.00081992,0.00081992,0.00081992
151,1957.33,2.66648,0.64729,1.42365,0.73401,0.6217,0.61629,0.22983,3.06514,0.86814,1.46101,0.000812,0.000812,0.000812
152,1970.35,2.61455,0.64135,1.40517,0.933,0.88856,0.92811,0.39415,2.52984,0.554,1.31347,0.00080408,0.00080408,0.00080408
153,1983.64,2.6574,0.65308,1.41739,0.92097,0.85437,0.91026,0.40314,2.47639,0.64163,1.30795,0.00079616,0.00079616,0.00079616
154,1996.46,2.64713,0.62797,1.40727,0.93253,0.88856,0.91861,0.39756,2.50891,0.54747,1.30788,0.00078824,0.00078824,0.00078824
155,2010.13,2.6443,0.66609,1.38919,0.9413,0.90323,0.94602,0.4138,2.4569,0.54331,1.30065,0.00078032,0.00078032,0.00078032
156,2023.43,2.64939,0.63773,1.41313,0.92904,0.84468,0.89496,0.34328,2.76677,0.62023,1.37013,0.0007724,0.0007724,0.0007724
157,2036.26,2.70327,0.67138,1.4189,0.93887,0.8558,0.92152,0.39843,2.54218,0.57088,1.32409,0.00076448,0.00076448,0.00076448
158,2048.88,2.59999,0.64117,1.40789,0.93606,0.88856,0.92753,0.39905,2.47914,0.53833,1.30282,0.00075656,0.00075656,0.00075656
159,2061.84,2.62838,0.62595,1.39368,0.94513,0.90916,0.93912,0.39348,2.55342,0.54311,1.31547,0.00074864,0.00074864,0.00074864
160,2075.4,2.6103,0.64743,1.39004,0.93365,0.86665,0.90856,0.35554,2.55789,0.59006,1.317,0.00074072,0.00074072,0.00074072
161,2088.67,2.61386,0.6341,1.38224,0.9269,0.92955,0.95549,0.40565,2.44971,0.54424,1.29912,0.0007328,0.0007328,0.0007328
162,2101.89,2.60036,0.65164,1.37519,0.90116,0.82405,0.91042,0.3877,2.52933,0.61008,1.31469,0.00072488,0.00072488,0.00072488
163,2115.13,2.58629,0.62783,1.4022,0.86601,0.81818,0.83726,0.30806,2.88102,0.65112,1.38534,0.00071696,0.00071696,0.00071696
164,2127.8,2.5797,0.65379,1.39328,0.93584,0.89825,0.94155,0.39503,2.46766,0.54688,1.29548,0.00070904,0.00070904,0.00070904
165,2140.62,2.69437,0.66228,1.37835,0.94999,0.89126,0.94597,0.40553,2.4951,0.5418,1.30506,0.00070112,0.00070112,0.00070112
166,2154.36,2.60684,0.65052,1.3949,0.91423,0.83871,0.90456,0.38796,2.51388,0.60681,1.30982,0.0006932,0.0006932,0.0006932
167,2167.5,2.60715,0.66115,1.40566,0.92474,0.90086,0.94474,0.40084,2.45448,0.5432,1.29164,0.00068528,0.00068528,0.00068528
168,2180.62,2.61139,0.64096,1.38539,0.93117,0.87277,0.9218,0.36485,2.66708,0.57434,1.33043,0.00067736,0.00067736,0.00067736
169,2193.46,2.59866,0.62512,1.37649,0.95321,0.8962,0.9415,0.40282,2.48278,0.53943,1.30068,0.00066944,0.00066944,0.00066944
170,2206.57,2.61834,0.6407,1.38532,0.93324,0.89736,0.94761,0.39752,2.4631,0.54169,1.29574,0.00066152,0.00066152,0.00066152
171,2220.07,2.6202,0.6651,1.3849,0.9494,0.88044,0.93571,0.39821,2.49291,0.54793,1.30114,0.0006536,0.0006536,0.0006536
172,2233.91,2.59331,0.64639,1.36664,0.84795,0.80938,0.81393,0.28131,2.90556,0.64405,1.39785,0.00064568,0.00064568,0.00064568
173,2246.82,2.61525,0.63172,1.40567,0.95085,0.90616,0.94563,0.42147,2.40133,0.52615,1.28714,0.00063776,0.00063776,0.00063776
174,2259.55,2.62393,0.64934,1.39821,0.91728,0.85044,0.89772,0.34884,2.65932,0.57866,1.33156,0.00062984,0.00062984,0.00062984
175,2272.4,2.58692,0.60923,1.37664,0.95701,0.90323,0.95275,0.40848,2.48403,0.52911,1.30329,0.00062192,0.00062192,0.00062192
176,2285.25,2.59904,0.63166,1.38519,0.92777,0.90406,0.95044,0.40948,2.45743,0.54263,1.2959,0.000614,0.000614,0.000614
177,2298.19,2.56278,0.61023,1.39483,0.94613,0.91496,0.9512,0.41195,2.45167,0.52239,1.29699,0.00060608,0.00060608,0.00060608
178,2311.13,2.59229,0.64552,1.35338,0.94482,0.90381,0.95076,0.41259,2.46668,0.54792,1.29904,0.00059816,0.00059816,0.00059816
179,2324.81,2.64657,0.63416,1.3862,0.96341,0.89736,0.95386,0.41343,2.456,0.54413,1.29766,0.00059024,0.00059024,0.00059024
180,2338.57,2.5272,0.60834,1.38393,0.9444,0.89654,0.94386,0.40894,2.48839,0.53875,1.30297,0.00058232,0.00058232,0.00058232
181,2351.76,2.56747,0.63881,1.38556,0.92985,0.86804,0.91081,0.34328,2.66291,0.57362,1.33226,0.0005744,0.0005744,0.0005744
