epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,5288.81,1.28707,0.50398,1.27061,0.99238,0.99309,0.99459,0.71155,1.21318,0.45635,1.1872,0.000412613,0.000412613,0.000412613
75,5360.96,1.28922,0.50395,1.26262,0.992,0.98876,0.99416,0.71394,1.20867,0.45575,1.18669,0.000407307,0.000407307,0.000407307
76,5430.4,1.28682,0.50215,1.25994,0.99041,0.99043,0.99372,0.70728,1.21616,0.45827,1.18663,0.000402,0.000402,0.000402
77,5499.64,1.28983,0.50358,1.26141,0.99096,0.99115,0.99441,0.71318,1.21011,0.45279,1.18728,0.000396693,0.000396693,0.000396693
78,5568.75,1.28099,0.50001,1.2614,0.99144,0.99202,0.99442,0.71313,1.20726,0.44881,1.18651,0.000391387,0.000391387,0.000391387
79,5638.23,1.28178,0.49867,1.2582,0.99203,0.99302,0.99444,0.71376,1.20788,0.44693,1.18598,0.00038608,0.00038608,0.00038608
80,5707.79,1.2929,0.5016,1.26408,0.99096,0.99146,0.99366,0.71387,1.21431,0.44975,1.18634,0.000380773,0.000380773,0.000380773
81,5777.67,1.28618,0.50132,1.26692,0.99017,0.99149,0.99394,0.7132,1.20946,0.44951,1.18443,0.000375467,0.000375467,0.000375467
82,5848.02,1.27213,0.49678,1.24892,0.9907,0.99096,0.99374,0.71625,1.20214,0.44856,1.18366,0.00037016,0.00037016,0.00037016
83,5918.26,1.27146,0.49699,1.26013,0.99202,0.99191,0.99426,0.71578,1.20355,0.4496,1.18092,0.000364853,0.000364853,0.000364853
84,5988.65,1.27687,0.4952,1.25011,0.99065,0.99096,0.99434,0.71759,1.20208,0.44934,1.18088,0.000359547,0.000359547,0.000359547
85,6058.38,1.27495,0.49369,1.25228,0.99065,0.99043,0.99429,0.71481,1.20822,0.44855,1.18543,0.00035424,0.00035424,0.00035424
86,6128.42,1.27198,0.49292,1.25272,0.98963,0.98989,0.99416,0.7176,1.20472,0.44622,1.18268,0.000348933,0.000348933,0.000348933
87,6197.81,1.27604,0.49565,1.25763,0.99164,0.99202,0.99436,0.71833,1.19891,0.44428,1.17949,0.000343627,0.000343627,0.000343627
88,6267.08,1.26938,0.491,1.24742,0.98989,0.99096,0.99441,0.71742,1.19927,0.4454,1.17929,0.00033832,0.00033832,0.00033832
89,6336.17,1.27711,0.4944,1.25526,0.98775,0.98989,0.9938,0.71575,1.19788,0.44642,1.17833,0.000333013,0.000333013,0.000333013
90,6406.2,1.27344,0.49602,1.25611,0.98777,0.98797,0.99267,0.71532,1.19767,0.44782,1.17891,0.000327707,0.000327707,0.000327707
91,6475.61,1.26188,0.48816,1.25081,0.98886,0.98777,0.99294,0.72068,1.18967,0.44631,1.17751,0.0003224,0.0003224,0.0003224
92,6544.8,1.26418,0.48651,1.25415,0.98937,0.99018,0.99448,0.71924,1.19659,0.44389,1.17988,0.000317093,0.000317093,0.000317093
93,6614.42,1.26738,0.48709,1.2447,0.98909,0.98883,0.99381,0.71744,1.19207,0.44491,1.17705,0.000311787,0.000311787,0.000311787
94,6684.14,1.25977,0.48585,1.24794,0.9908,0.99096,0.99453,0.71797,1.19317,0.4465,1.1772,0.00030648,0.00030648,0.00030648
